Release Date,Time,Actual,Forecast,Previous
"Oct 08, 2015  (Sep)",06:00,9.20%,,7.90%
"Sep 10, 2015",02:05,7.90%,,8.40%
"Aug 10, 2015  (Jul)",04:20,8.40%,,11.40%
"Jul 09, 2015  (Jun)",02:28,11.40%,,13.10%
"Jun 10, 2015  (May)",02:15,13.10%,,11.00%
"May 10, 2015  (Apr)",02:05,11.00%,,11.50%
"Mar 10, 2015  (Feb)",02:10,10.60%,,9.70%
"Feb 10, 2015  (Jan)",02:00,9.70%,,10.10%
"Jan 08, 2015  (Dec)",06:30,10.10%,,9.10%
"Dec 10, 2014  (Nov)",02:10,9.10%,,11.80%
"Nov 10, 2014  (Oct)",05:00,11.80%,10.80%,11.50%
"Oct 09, 2014",03:00,11.10%,,11.49%
"Sep 10, 2014",06:00,11.49%,,11.04%
"Aug 11, 2014",05:00,10.60%,,8.20%
"Jul 01, 2014  (Jun)",05:00,8.20%,,8.24%
"Jun 01, 2014  (May)",05:00,8.24%,,8.87%
"May 01, 2014  (Apr)",05:00,8.87%,,9.82%
"Apr 01, 2014  (Mar)",05:00,9.82%,,9.77%
"Mar 01, 2014  (Feb)",05:00,9.77%,,11.36%
"Feb 01, 2014  (Jan)",05:00,11.36%,,11.65%
"Jan 01, 2014  (Dec)",05:00,11.65%,,12.97%
"Dec 01, 2013  (Nov)",05:00,12.97%,,10.45%
"Nov 01, 2013  (Oct)",05:00,10.45%,,10.14%
"Oct 01, 2013  (Sep)",05:00,10.14%,,9.74%
"Sep 01, 2013  (Aug)",05:00,9.74%,,10.28%
"Aug 01, 2013  (Jul)",05:00,10.28%,,9.75%
"Jul 01, 2013  (Jun)",05:00,9.75%,,8.19%
"Jun 01, 2013  (May)",05:00,8.19%,,8.11%
"May 01, 2013  (Apr)",05:00,8.11%,,7.59%
"Apr 01, 2013  (Mar)",05:00,7.59%,,8.22%
"Mar 01, 2013  (Feb)",05:00,8.22%,,6.29%
"Feb 01, 2013  (Jan)",05:00,6.29%,,4.70%
"Jan 01, 2013  (Dec)",05:00,4.70%,,4.29%
"Dec 01, 2012  (Nov)",05:00,4.29%,,6.74%
"Nov 01, 2012  (Oct)",05:00,6.74%,,6.26%
"Oct 01, 2012  (Sep)",05:00,6.26%,,6.43%
"Sep 01, 2012  (Aug)",05:00,6.43%,,6.38%
"Aug 01, 2012  (Jul)",05:00,6.38%,,7.27%
"Jul 01, 2012  (Jun)",05:00,7.27%,,8.34%
"Jun 01, 2012  (May)",05:00,8.34%,,8.79%
"May 01, 2012  (Apr)",05:00,8.79%,,9.07%
"Apr 01, 2012  (Mar)",05:00,9.07%,,9.20%
"Mar 01, 2012  (Feb)",05:00,9.20%,,8.57%
"Feb 01, 2012  (Jan)",05:00,8.57%,,9.48%
"Jan 01, 2012  (Dec)",05:00,9.48%,,9.06%
"Dec 01, 2011  (Nov)",05:00,9.06%,,7.10%
"Nov 01, 2011  (Oct)",05:00,7.10%,,8.20%
"Oct 01, 2011  (Sep)",05:00,8.20%,,8.52%
"Sep 01, 2011  (Aug)",05:00,8.52%,,10.38%
"Aug 01, 2011  (Jul)",05:00,10.38%,,11.82%
"Jul 01, 2011  (Jun)",05:00,11.82%,,11.87%
"Jun 01, 2011  (May)",05:00,11.87%,,12.12%
"May 01, 2011  (Apr)",05:00,12.12%,,11.51%
"Apr 01, 2011  (Mar)",05:00,11.51%,,10.68%
"Mar 01, 2011  (Feb)",05:00,10.68%,,10.80%
"Feb 01, 2011  (Jan)",05:00,10.80%,,10.58%
"Jan 01, 2011  (Dec)",05:00,10.58%,,10.18%
"Dec 01, 2010  (Nov)",05:00,10.18%,,10.97%
"Nov 01, 2010  (Oct)",05:00,10.97%,,10.91%
"Oct 01, 2010  (Sep)",05:00,10.91%,,10.88%
"Sep 01, 2010  (Aug)",05:00,10.88%,,9.46%
"Aug 01, 2010  (Jul)",05:00,9.46%,,9.15%
"Jul 01, 2010  (Jun)",05:00,9.15%,,9.02%
"Jun 01, 2010  (May)",05:00,9.02%,,9.92%
"May 01, 2010  (Apr)",05:00,9.92%,,11.01%
"Apr 01, 2010  (Mar)",05:00,11.01%,,11.74%
"Mar 01, 2010  (Feb)",05:00,11.74%,,12.66%
"Feb 01, 2010  (Jan)",05:00,12.66%,,12.29%
"Jan 01, 2010  (Dec)",05:00,12.29%,,12.00%
"Dec 01, 2009  (Nov)",05:00,12.00%,,12.02%
"Nov 01, 2009  (Oct)",05:00,12.02%,,10.48%
"Oct 01, 2009  (Sep)",05:00,10.48%,,9.04%
"Sep 01, 2009  (Aug)",05:00,9.04%,,9.98%
"Aug 01, 2009  (Jul)",05:00,9.98%,,9.96%
"Jul 01, 2009  (Jun)",05:00,9.96%,,10.18%
"Jun 01, 2009  (May)",05:00,10.18%,,11.82%
"May 01, 2009  (Apr)",05:00,11.82%,,12.14%
"Apr 01, 2009  (Mar)",05:00,12.14%,,13.51%
"Mar 01, 2009  (Feb)",05:00,13.51%,,14.39%
"Feb 01, 2009  (Jan)",05:00,14.39%,,18.34%
"Jan 01, 2009  (Dec)",05:00,18.34%,,20.30%
"Dec 01, 2008  (Nov)",05:00,20.30%,,20.17%
"Nov 01, 2008  (Oct)",05:00,20.17%,,21.52%
"Oct 01, 2008  (Sep)",05:00,21.52%,,23.74%
"Sep 01, 2008  (Aug)",05:00,23.74%,,22.00%
"Aug 01, 2008  (Jul)",05:00,22.00%,,20.18%
"Jul 01, 2008  (Jun)",05:00,20.18%,,19.72%
"Jun 01, 2008  (May)",05:00,19.72%,,16.44%
"May 01, 2008  (Apr)",05:00,16.44%,,14.38%
"Apr 01, 2008  (Mar)",05:00,14.38%,,12.05%
"Mar 01, 2008  (Feb)",05:00,12.05%,,10.50%
"Feb 01, 2008  (Jan)",05:00,10.50%,,6.94%
"Jan 01, 2008  (Dec)",05:00,6.94%,,6.86%
"Dec 01, 2007  (Nov)",05:00,6.86%,,7.50%
"Nov 01, 2007  (Oct)",05:00,7.50%,,9.26%
"Oct 01, 2007  (Sep)",05:00,9.26%,,8.10%
"Sep 01, 2007  (Aug)",05:00,8.10%,,7.72%
"Aug 01, 2007  (Jul)",05:00,7.72%,,8.59%
"Jul 01, 2007  (Jun)",05:00,8.59%,,10.03%
"Jun 01, 2007  (May)",05:00,10.03%,,11.60%
"May 01, 2007  (Apr)",05:00,11.60%,,12.88%
"Apr 01, 2007  (Mar)",05:00,12.88%,,12.68%
"Mar 01, 2007  (Feb)",05:00,12.68%,,12.49%
"Feb 01, 2007  (Jan)",05:00,12.49%,,12.32%
"Jan 01, 2007  (Dec)",05:00,12.32%,,12.10%
"Dec 01, 2006  (Nov)",05:00,12.10%,,11.78%
"Nov 01, 2006  (Oct)",05:00,11.78%,,9.58%
"Oct 01, 2006  (Sep)",05:00,9.58%,,8.93%
"Sep 01, 2006  (Aug)",05:00,8.93%,,8.50%
"Aug 01, 2006  (Jul)",05:00,8.50%,,7.26%
"Jul 01, 2006  (Jun)",05:00,7.26%,,5.40%
"Jun 01, 2006  (May)",05:00,5.40%,,4.38%
"May 01, 2006  (Apr)",05:00,4.38%,,3.72%
"Apr 01, 2006  (Mar)",05:00,3.72%,,3.97%
"Mar 01, 2006  (Feb)",05:00,3.97%,,3.37%
"Feb 01, 2006  (Jan)",05:00,3.37%,,3.15%
"Jan 01, 2006  (Dec)",05:00,3.15%,,3.15%
"Dec 01, 2005  (Nov)",05:00,3.15%,,3.03%
"Nov 01, 2005  (Oct)",05:00,3.03%,,3.66%
"Oct 01, 2005  (Sep)",05:00,3.66%,,4.68%
"Sep 01, 2005  (Aug)",05:00,4.68%,,4.31%
"Aug 01, 2005  (Jul)",05:00,4.31%,,4.58%
"Jul 01, 2005  (Jun)",05:00,4.58%,,5.07%
"Jun 01, 2005  (May)",05:00,5.07%,,4.71%
"May 01, 2005  (Apr)",05:00,4.71%,,5.64%
"Apr 01, 2005  (Mar)",05:00,5.64%,,6.99%
"Mar 01, 2005  (Feb)",05:00,6.99%,,9.55%
"Feb 01, 2005  (Jan)",05:00,9.55%,,11.43%
"Jan 01, 2005  (Dec)",05:00,11.43%,,11.88%
"Dec 01, 2004  (Nov)",05:00,11.88%,,12.47%
"Nov 01, 2004  (Oct)",05:00,12.47%,,11.90%
"Oct 01, 2004  (Sep)",05:00,11.90%,,11.20%
"Sep 01, 2004  (Aug)",05:00,11.20%,,11.93%
"Aug 01, 2004  (Jul)",05:00,11.93%,,11.26%
"Jul 01, 2004  (Jun)",05:00,11.26%,,11.26%
"Jun 01, 2004  (May)",05:00,11.26%,,11.68%
"May 01, 2004  (Apr)",05:00,11.68%,,10.35%
"Apr 01, 2004  (Mar)",05:00,10.35%,,9.20%
"Mar 01, 2004  (Feb)",05:00,9.20%,,7.35%
"Feb 01, 2004  (Jan)",05:00,7.35%,,5.79%
"Jan 01, 2004  (Dec)",05:00,5.79%,,5.49%
"Dec 01, 2003  (Nov)",05:00,5.49%,,5.35%
"Nov 01, 2003  (Oct)",05:00,5.35%,,4.60%
"Oct 01, 2003  (Sep)",05:00,4.60%,,4.26%
"Sep 01, 2003  (Aug)",05:00,4.26%,,3.86%
"Aug 01, 2003  (Jul)",05:00,3.86%,,4.03%
"Jul 01, 2003  (Jun)",05:00,4.03%,,3.94%
"Jun 01, 2003  (May)",05:00,3.94%,,3.71%
"May 01, 2003  (Apr)",05:00,3.71%,,3.56%
"Apr 01, 2003  (Mar)",05:00,3.56%,,3.09%
"Mar 01, 2003  (Feb)",05:00,3.09%,,2.94%
"Feb 01, 2003  (Jan)",05:00,2.94%,,2.95%
"Jan 01, 2003  (Dec)",05:00,2.95%,,3.13%
"Dec 01, 2002  (Nov)",05:00,3.13%,,2.81%
"Nov 01, 2002  (Oct)",05:00,2.81%,,2.97%
"Oct 01, 2002  (Sep)",05:00,2.97%,,2.66%
"Sep 01, 2002  (Aug)",05:00,2.66%,,2.58%
"Aug 01, 2002  (Jul)",05:00,2.58%,,2.75%
"Jul 01, 2002  (Jun)",05:00,2.75%,,2.75%
"Jun 01, 2002  (May)",05:00,2.75%,,2.67%
"May 01, 2002  (Apr)",05:00,2.67%,,2.51%
"Apr 01, 2002  (Mar)",05:00,2.51%,,2.52%
"Mar 01, 2002  (Feb)",05:00,2.52%,,2.44%
"Feb 01, 2002  (Jan)",05:00,2.44%,,2.45%
"Jan 01, 2002  (Dec)",05:00,2.45%,,2.21%
"Dec 01, 2001  (Nov)",05:00,2.21%,,2.30%
"Nov 01, 2001  (Oct)",05:00,2.30%,,2.13%
"Oct 01, 2001  (Sep)",05:00,2.13%,,2.14%
"Sep 01, 2001  (Aug)",05:00,2.14%,,2.22%
"Aug 01, 2001  (Jul)",05:00,2.22%,,2.23%
"Jul 01, 2001  (Jun)",05:00,2.23%,,2.15%
"Jun 01, 2001  (May)",05:00,2.15%,,2.32%
"May 01, 2001  (Apr)",05:00,2.32%,,2.41%
"Apr 01, 2001  (Mar)",05:00,2.41%,,2.41%
"Mar 01, 2001  (Feb)",05:00,2.41%,,2.59%
"Feb 01, 2001  (Jan)",05:00,2.59%,,2.26%
"Jan 01, 2001  (Dec)",05:00,2.26%,,2.35%
"Dec 01, 2000  (Nov)",05:00,2.35%,,2.52%
"Nov 01, 2000  (Oct)",05:00,2.52%,,2.53%
"Oct 01, 2000  (Sep)",05:00,2.53%,,2.62%
"Sep 01, 2000  (Aug)",05:00,2.62%,,2.79%
"Aug 01, 2000  (Jul)",05:00,2.79%,,2.54%
"Jul 01, 2000  (Jun)",05:00,2.54%,,2.81%
"Jun 01, 2000  (May)",05:00,2.81%,,2.90%
"May 01, 2000  (Apr)",05:00,2.90%,,2.99%
"Apr 01, 2000  (Mar)",05:00,2.99%,,3.00%
"Mar 01, 2000  (Feb)",05:00,3.00%,,2.92%
"Feb 01, 2000  (Jan)",05:00,2.92%,,3.19%
"Jan 01, 2000  (Dec)",05:00,3.19%,,3.02%
"Dec 01, 1999  (Nov)",05:00,3.02%,,2.32%
"Nov 01, 1999  (Oct)",05:00,2.32%,,2.41%
"Oct 01, 1999  (Sep)",05:00,2.41%,,2.86%
"Sep 01, 1999  (Aug)",05:00,2.86%,,2.87%
"Aug 01, 1999  (Jul)",05:00,2.87%,,2.88%
"Jul 01, 1999  (Jun)",05:00,2.88%,,2.80%
"Jun 01, 1999  (May)",05:00,2.80%,,3.26%
"May 01, 1999  (Apr)",05:00,3.26%,,3.82%
"Apr 01, 1999  (Mar)",05:00,3.82%,,3.74%
"Mar 01, 1999  (Feb)",05:00,3.74%,,3.84%
"Feb 01, 1999  (Jan)",05:00,3.84%,,3.58%
"Jan 01, 1999  (Dec)",05:00,3.58%,,3.77%
"Dec 01, 1998  (Nov)",05:00,3.77%,,4.41%
"Nov 01, 1998  (Oct)",05:00,4.41%,,4.70%
"Oct 01, 1998  (Sep)",05:00,4.70%,,4.35%
"Sep 01, 1998  (Aug)",05:00,4.35%,,4.27%
"Aug 01, 1998  (Jul)",05:00,4.27%,,4.08%
"Jul 01, 1998  (Jun)",05:00,4.08%,,3.87%
"Jun 01, 1998  (May)",05:00,3.87%,,3.59%
"May 01, 1998  (Apr)",05:00,3.59%,,3.39%
"Apr 01, 1998  (Mar)",05:00,3.39%,,3.78%
"Mar 01, 1998  (Feb)",05:00,3.78%,,3.76%
"Feb 01, 1998  (Jan)",05:00,3.76%,,3.99%
"Jan 01, 1998  (Dec)",05:00,3.99%,,3.93%
"Dec 01, 1997  (Nov)",05:00,3.93%,,3.96%
"Nov 01, 1997  (Oct)",05:00,3.96%,,3.68%
"Oct 01, 1997  (Sep)",05:00,3.68%,,3.78%
"Sep 01, 1997  (Aug)",05:00,3.78%,,3.61%
"Aug 01, 1997  (Jul)",05:00,3.61%,,4.76%
"Jul 01, 1997  (Jun)",05:00,4.76%,,4.87%
"Jun 01, 1997  (May)",05:00,4.87%,,5.37%
"May 01, 1997  (Apr)",05:00,5.37%,,5.55%
"Apr 01, 1997  (Mar)",05:00,5.55%,,5.40%
"Mar 01, 1997  (Feb)",05:00,5.40%,,5.68%
"Feb 01, 1997  (Jan)",05:00,5.68%,,5.41%
"Jan 01, 1997  (Dec)",05:00,5.41%,,5.72%
"Dec 01, 1996  (Nov)",05:00,5.72%,,6.95%
"Nov 01, 1996  (Oct)",05:00,6.95%,,7.77%
"Oct 01, 1996  (Sep)",05:00,7.77%,,7.59%
