Date,Price,Open,High,Low,Vol.,Change %
03/01/2024,"101,139.67","63,164.02","108,440.17","62,991.23"
02/01/2024,"63,050.27","63,045.60","63,821.48","61,303.71"
01/01/2024,"62,926.11","63,743.77","64,290.63","61,859.03"
12/01/2023,"63,734.03","62,928.75","65,257.58","60,884.95"
11/01/2023,"62,819.97","61,354.20","63,475.10","59,688.30"
10/01/2023,"61,283.67","57,107.23","62,093.00","55,751.11"
09/01/2023,"57,020.47","59,936.18","60,361.48","57,051.79"
08/01/2023,"59,838.05","60,720.75","60,760.79","58,226.45"
07/01/2023,"60,607.60","59,309.34","61,356.55","58,792.67"
06/01/2023,"59,219.35","60,632.82","61,290.63","58,494.01"
05/01/2023,"60,512.46","61,532.62","64,168.38","59,604.02"
04/01/2023,"61,372.99","60,899.14","63,309.32","60,215.55"
03/01/2023,"60,537.22","55,992.48","62,126.77","55,629.75"
02/01/2023,"55,862.77","58,199.99","59,348.74","55,172.70"
01/01/2023,"58,066.23","45,149.53","60,709.95","45,014.97"
12/01/2022,"45,135.66","43,433.62","45,284.82","43,356.41"
11/01/2022,"43,312.57","39,486.12","43,757.98","39,139.80"
10/01/2022,"39,437.65","32,461.74","39,809.12","31,658.09"
09/01/2022,"32,349.31","32,909.73","33,605.45","31,470.52"
08/01/2022,"32,846.99","33,465.26","34,637.77","32,833.86"
07/01/2022,"33,316.61","33,970.98","34,201.68","31,784.36"
06/01/2022,"33,888.67","34,177.61","35,112.65","33,803.81"
05/01/2022,"34,129.42","35,039.88","35,297.38","32,683.33"
04/01/2022,"34,989.25","35,410.93","36,854.89","34,611.00"
03/01/2022,"35,294.92","29,986.40","36,295.54","29,792.94"
02/01/2022,"29,883.82","28,244.49","31,068.35","28,073.13"
01/01/2022,"28,137.40","28,751.44","29,181.73","27,993.57"
12/01/2021,"28,632.59","27,953.88","28,758.44","27,605.45"
11/01/2021,"27,917.45","27,999.20","29,545.21","27,641.13"
10/01/2021,"27,918.78","27,625.64","28,517.45","27,415.43"
09/01/2021,"27,556.19","28,481.34","28,827.15","27,037.77"
08/01/2021,"28,367.50","28,448.95","28,829.04","26,450.91"
