,year,month,day,USD_EUR_value,USD_EGP,EUR_EGP,cpi_rate,InterestRate,XAU_Price,gdp_rate,UnemploymentRate
0,1990,5,31,1,2.6892,3.84122778129037,,,,5.66702915715834,
1,1990,6,1,1,2.6892,3.84122778129037,,,,5.66702915715834,
2,1990,6,4,1,2.6967,3.84122778129037,,,,5.66702915715834,
3,1990,6,5,1,2.6967,3.84122778129037,,,,5.66702915715834,
4,1990,6,6,1,2.6967,3.84122778129037,,,,5.66702915715834,
5,1990,6,7,1,2.6892,3.84122778129037,,,,5.66702915715834,
6,1990,6,8,1,2.6892,3.84122778129037,,,,5.66702915715834,
7,1990,6,11,1,2.6967,3.84122778129037,,,,5.66702915715834,
8,1990,6,12,1,2.6992,3.84122778129037,,,,5.66702915715834,
9,1990,6,13,1,2.7092,3.84122778129037,,,,5.66702915715834,
10,1990,6,14,1,2.7092,3.84122778129037,,,,5.66702915715834,
11,1990,6,15,1,2.7092,3.84122778129037,,,,5.66702915715834,
12,1990,6,18,1,2.7167,3.84122778129037,,,,5.66702915715834,
13,1990,6,19,1,2.7067,3.84122778129037,,,,5.66702915715834,
14,1990,6,20,1,2.7067,3.84122778129037,,,,5.66702915715834,
15,1990,6,21,1,2.7067,3.84122778129037,,,,5.66702915715834,
16,1990,6,22,1,2.7192,3.84122778129037,,,,5.66702915715834,
17,1990,6,25,1,2.7092,3.84122778129037,,,,5.66702915715834,
18,1990,6,26,1,2.7092,3.84122778129037,,,,5.66702915715834,
19,1990,6,27,1,2.7092,3.84122778129037,,,,5.66702915715834,
20,1990,6,28,1,2.7192,3.84122778129037,,,,5.66702915715834,
21,1990,6,29,1,2.7192,3.84122778129037,,,,5.66702915715834,
22,1990,7,2,1,2.7192,3.84122778129037,,,,5.66702915715834,
23,1990,7,3,1,2.7192,3.84122778129037,,,,5.66702915715834,
24,1990,7,4,1,2.7167,3.84122778129037,,,,5.66702915715834,
25,1990,7,5,1,2.7167,3.84122778129037,,,,5.66702915715834,
26,1990,7,6,1,2.7167,3.84122778129037,,,,5.66702915715834,
27,1990,7,9,1,2.7067,3.84122778129037,,,,5.66702915715834,
28,1990,7,10,1,2.7067,3.84122778129037,,,,5.66702915715834,
29,1990,7,11,1,2.7067,3.84122778129037,,,,5.66702915715834,
30,1990,7,12,1,2.7167,3.84122778129037,,,,5.66702915715834,
