year,month,day,EUR/USD
1996,4,5,1.2532
1996,4,4,1.2576
1996,4,3,1.2547
1996,4,2,1.2571
1996,4,1,1.251
1996,3,29,1.2557
1996,3,28,1.2597
1996,3,27,1.2509
1996,3,26,1.2555
1996,3,25,1.2557
1996,3,22,1.2537
1996,3,21,1.2526
1996,3,20,1.2572
1996,3,19,1.2573
1996,3,18,1.2524
1996,3,15,1.2578
1996,3,14,1.2564
1996,3,13,1.2561
1996,3,12,1.2552
1996,3,11,1.249
1996,3,8,1.249
1996,3,7,1.2568
1996,3,6,1.2568
1996,3,5,1.2597
1996,3,4,1.2555
1996,3,1,1.252
1996,2,29,1.2551
1996,2,28,1.2623
1996,2,27,1.27
1996,2,26,1.2658
1996,2,23,1.268
1996,2,22,1.2655
1996,2,21,1.2668
1996,2,20,1.2663
1996,2,19,1.2666
1996,2,16,1.257
1996,2,15,1.2502
1996,2,14,1.2517
1996,2,13,1.2471
1996,2,12,1.246
1996,2,9,1.2448
1996,2,8,1.244
1996,2,7,1.2435
1996,2,6,1.248
1996,2,5,1.25
1996,2,2,1.2383
1996,2,1,1.2371
1996,1,31,1.234
1996,1,30,1.23
1996,1,29,1.232
1996,1,26,1.2255
1996,1,25,1.2329
1996,1,24,1.2389
1996,1,23,1.2439
1996,1,22,1.247
1996,1,19,1.2461
1996,1,18,1.2543
1996,1,17,1.2582
1996,1,16,1.2626
1996,1,15,1.278
1996,1,12,1.2813
1996,1,11,1.289
1996,1,10,1.2937
1996,1,9,1.2914
1996,1,8,1.2861
1996,1,5,1.2843
1996,1,4,1.28
1996,1,3,1.2742
1996,1,2,1.2797
1995,12,29,1.2777
1995,12,28,1.2768
1995,12,27,1.279
1995,12,26,1.281
1995,12,25,1.2771
1995,12,22,1.2776
1995,12,21,1.2765
1995,12,20,1.2766
1995,12,19,1.273
1995,12,18,1.2838
1995,12,15,1.273
1995,12,14,1.2735
1995,12,13,1.2634
1995,12,12,1.2672
1995,12,11,1.2721
1995,12,8,1.2731
1995,12,7,1.274
1995,12,6,1.278
1995,12,5,1.2851
1995,12,4,1.277
1995,12,1,1.2757
1995,11,30,1.2755
1995,11,29,1.2859
1995,11,28,1.2925
1995,11,27,1.2893
1995,11,24,1.2993
1995,11,23,1.3001
1995,11,22,1.3016
1995,11,21,1.3019
1995,11,20,1.3028
1995,11,17,1.309
1995,11,16,1.3004
1995,11,15,1.3006
1995,11,14,1.296
1995,11,13,1.291
1995,11,10,1.2917
1995,11,9,1.3043
1995,11,8,1.2927
1995,11,7,1.2962
1995,11,6,1.2962
1995,11,3,1.2933
1995,11,2,1.2904
1995,11,1,1.2963
1995,10,31,1.3013
1995,10,30,1.304
1995,10,27,1.3037
1995,10,26,1.3098
1995,10,25,1.3099
1995,10,24,1.3094
1995,10,23,1.314
1995,10,20,1.3088
1995,10,19,1.302
1995,10,18,1.2909
1995,10,17,1.2968
1995,10,16,1.2933
1995,10,13,1.2934
1995,10,12,1.2983
1995,10,11,1.2896
1995,10,10,1.293
1995,10,9,1.2957
1995,10,6,1.289
1995,10,5,1.2946
1995,10,4,1.291
1995,10,3,1.2884
1995,10,2,1.2982
1995,9,29,1.2971
1995,9,28,1.304
1995,9,27,1.3
1995,9,26,1.2924
1995,9,25,1.2932
1995,9,22,1.3
1995,9,21,1.2977
1995,9,20,1.2762
1995,9,19,1.2602
1995,9,18,1.264
1995,9,15,1.2613
1995,9,14,1.2605
1995,9,13,1.2571
1995,9,12,1.2687
1995,9,11,1.2693
1995,9,8,1.2692
1995,9,7,1.2647
1995,9,6,1.267
1995,9,5,1.279
1995,9,4,1.2775
1995,9,1,1.2765
1995,8,31,1.2746
1995,8,30,1.271
1995,8,29,1.2667
1995,8,28,1.2788
1995,8,25,1.27
1995,8,24,1.2715
1995,8,23,1.2668
1995,8,22,1.2636
1995,8,21,1.2711
1995,8,18,1.2738
1995,8,17,1.2726
1995,8,16,1.273
1995,8,15,1.272
1995,8,14,1.303
1995,8,11,1.301
