,year,month,day,XAU_Price
1405,2018,11,28,21774.19
1404,2018,11,29,21872.94
1403,2018,11,30,21918.62
1402,2018,12,3,21930.54
1401,2018,12,4,22047.35
1400,2018,12,5,22160.92
1399,2018,12,6,22232.33
1398,2018,12,7,22174.9
1397,2018,12,10,22469.42
1396,2018,12,11,22285.7
1395,2018,12,12,22263.53
1394,2018,12,13,22302.64
1393,2018,12,14,22198.14
1392,2018,12,17,22273.87
1391,2018,12,18,22321.62
1390,2018,12,19,22375.12
1389,2018,12,20,22264.86
1388,2018,12,21,22564.08
1387,2018,12,24,22676.56
1386,2018,12,25,22768.21
1385,2018,12,26,22758.98
1384,2018,12,27,22698.28
1383,2018,12,28,22813.25
1382,2018,12,31,23057.52
1381,2019,1,1,22971.66
1380,2019,1,2,22953.84
1379,2019,1,3,23091.69
1378,2019,1,4,23168.66
1377,2019,1,7,23050.65
1376,2019,1,8,23078.39
1375,2019,1,9,23051.35
1374,2019,1,10,23153.22
1373,2019,1,11,23064.69
1372,2019,1,14,23061.3
1371,2019,1,15,23131.6
1370,2019,1,16,23080.41
1369,2019,1,17,23206.19
1368,2019,1,18,23117.65
1367,2019,1,21,22974.46
1366,2019,1,22,22958.63
1365,2019,1,23,23029.69
1364,2019,1,24,22950.14
1363,2019,1,25,22910.71
1362,2019,1,28,23068.1
1361,2019,1,29,23018.54
1360,2019,1,30,23141.24
1359,2019,1,31,23338.29
1358,2019,2,1,23349.67
1357,2019,2,4,23292.69
1356,2019,2,5,23200.28
1355,2019,2,6,23144.38
1354,2019,2,7,22995.74
1353,2019,2,8,23051.56
1352,2019,2,11,23212.46
1351,2019,2,12,23017.1
1350,2019,2,13,23055.44
1349,2019,2,14,22983.29
1348,2019,2,15,23024.87
1347,2019,2,18,23213.71
1346,2019,2,19,23274.33
1345,2019,2,20,23518.26
1344,2019,2,21,23509.71
1343,2019,2,22,23212.05
1342,2019,2,25,23315.24
1341,2019,2,26,23244.1
1340,2019,2,27,23309.6
