,Unnamed: 0,year,month,day,XAU_Price
146,27,2021,1,12,"28,632.59"
147,26,2022,1,1,"28,137.40"
148,25,2022,1,2,"29,883.82"
149,24,2022,1,3,"35,294.92"
150,23,2022,1,4,"34,989.25"
151,22,2022,1,5,"34,129.42"
152,21,2022,1,6,"33,888.67"
153,20,2022,1,7,"33,316.61"
154,19,2022,1,8,"32,846.99"
155,18,2022,1,9,"32,349.31"
156,17,2022,1,10,"39,437.65"
157,16,2022,1,11,"43,312.57"
158,15,2022,1,12,"45,135.66"
159,14,2023,1,1,"58,066.23"
160,13,2023,1,2,"55,862.77"
161,12,2023,1,3,"60,537.22"
162,11,2023,1,4,"61,372.99"
163,10,2023,1,5,"60,512.46"
164,9,2023,1,6,"59,219.35"
165,8,2023,1,7,"60,607.60"
166,7,2023,1,8,"59,838.05"
167,6,2023,1,9,"57,020.47"
168,5,2023,1,10,"61,283.67"
169,4,2023,1,11,"62,819.97"
170,3,2023,1,12,"63,734.03"
171,2,2024,1,1,"62,926.11"
172,1,2024,1,2,"63,050.27"
173,0,2024,1,3,"101,139.67"
174,1617,2018,2,5,23549.41
175,1616,2018,2,6,23661.17
176,1615,2018,2,7,23371.58
177,1614,2018,2,8,23296.9
178,1613,2018,2,9,23316.3
179,1612,2018,2,12,23250.25
180,1611,2018,2,13,23461.24
181,1610,2018,2,14,23540.42
182,1609,2018,2,15,23920.94
183,1608,2018,2,16,23878.71
184,1607,2018,2,19,23783.44
185,1606,2018,2,20,23761.4
186,1605,2018,2,21,23554.84
187,1604,2018,2,22,23449.33
188,1603,2018,2,23,23545.29
189,1602,2018,2,26,23379.08
190,1601,2018,2,27,23543.04
191,1600,2018,2,28,23276.27
192,1599,2018,3,1,23281.22
193,1598,2018,3,2,23233.29
194,1597,2018,3,5,23352.94
195,1596,2018,3,6,23265.31
196,1595,2018,3,7,23531.72
197,1594,2018,3,8,23361.01
198,1593,2018,3,9,23278.46
199,1592,2018,3,12,23310.26
200,1591,2018,3,13,23314.79
201,1590,2018,3,14,23391.37
202,1589,2018,3,15,23342.01
203,1588,2018,3,16,23220.49
204,1587,2018,3,19,23165.01
205,1586,2018,3,20,23218.44
206,1585,2018,3,21,23118.84
207,1584,2018,3,22,23466.48
208,1583,2018,3,23,23428.03
209,1582,2018,3,26,23743.66
210,1581,2018,3,27,23916.1
211,1580,2018,3,28,23738.19
212,1579,2018,3,29,23397.02
213,1578,2018,3,30,23359.8
214,1577,2018,4,2,23454.61
215,1576,2018,4,3,23662.87
216,1575,2018,4,4,23457.63
217,1574,2018,4,5,23574.19
218,1573,2018,4,6,23457.44
219,1572,2018,4,9,23576.82
220,1571,2018,4,10,23649.43
221,1570,2018,4,11,23682.61
222,1569,2018,4,12,23874.38
223,1568,2018,4,13,23519.03
224,1567,2018,4,16,23785.62
225,1566,2018,4,17,23818.19
226,1565,2018,4,18,23850.84
227,1564,2018,4,19,23896.45
228,1563,2018,4,20,23797.74
229,1562,2018,4,23,23629.99
230,1561,2018,4,24,23414.49
231,1560,2018,4,25,23549.55
232,1559,2018,4,26,23412.92
233,1558,2018,4,27,23318.23
234,1557,2018,4,30,23358.17
235,1556,2018,5,1,23226.2
236,1555,2018,5,2,23061.56
237,1554,2018,5,3,23036.8
238,1553,2018,5,4,23136.01
239,1552,2018,5,7,23236.49
240,1551,2018,5,8,23276.43
241,1550,2018,5,9,23259.44
242,1549,2018,5,10,23343.15
243,1548,2018,5,11,23391.74
244,1547,2018,5,14,23483.29
245,1546,2018,5,15,23409.96
246,1545,2018,5,16,23019.42
247,1544,2018,5,17,23085.38
248,1543,2018,5,18,22999.06
249,1542,2018,5,21,23132.94
250,1541,2018,5,22,23154.9
251,1540,2018,5,23,23143.82
252,1539,2018,5,24,23177.09
253,1538,2018,5,25,23375.44
254,1537,2018,5,28,23273.5
255,1536,2018,5,29,23259.51
256,1535,2018,5,30,23278.58
257,1534,2018,5,31,23300.74
258,1533,2018,6,1,23257.04
259,1532,2018,6,4,23166.48
260,1531,2018,6,5,23132.88
261,1530,2018,6,6,23179.25
262,1529,2018,6,7,23173.11
263,1528,2018,6,8,23159.9
264,1527,2018,6,11,23216.31
265,1526,2018,6,12,23180.44
266,1525,2018,6,13,23112.96
267,1524,2018,6,14,23264.19
268,1523,2018,6,15,23242.31
269,1522,2018,6,18,22832.99
270,1521,2018,6,19,22806.72
271,1520,2018,6,20,22786.29
272,1519,2018,6,21,22698.69
273,1518,2018,6,22,22653.92
274,1517,2018,6,25,22837.82
275,1516,2018,6,26,22643.5
276,1515,2018,6,27,22509.08
277,1514,2018,6,28,22396.6
278,1513,2018,6,29,22338.25
279,1512,2018,7,2,22393.51
280,1511,2018,7,3,22260.82
281,1510,2018,7,4,22456.12
282,1509,2018,7,5,22486.0
283,1508,2018,7,6,22504.88
284,1507,2018,7,9,22419.67
285,1506,2018,7,10,22564.66
286,1505,2018,7,11,22484.37
287,1504,2018,7,12,22233.06
288,1503,2018,7,13,22330.15
289,1502,2018,7,16,22252.33
290,1501,2018,7,17,22203.81
291,1500,2018,7,18,21976.38
292,1499,2018,7,19,21970.61
293,1498,2018,7,20,21900.82
294,1497,2018,7,23,22051.97
295,1496,2018,7,24,21953.06
296,1495,2018,7,25,21915.62
297,1494,2018,7,26,22039.96
298,1493,2018,7,27,21889.48
299,1492,2018,7,30,21880.43
300,1491,2018,7,31,21881.29
301,1490,2018,8,1,21872.6
302,1489,2018,8,2,21714.32
303,1488,2018,8,3,21592.49
304,1487,2018,8,6,21683.53
305,1486,2018,8,7,21593.42
306,1485,2018,8,8,21611.16
307,1484,2018,8,9,21728.65
308,1483,2018,8,10,21628.73
309,1482,2018,8,13,21638.58
310,1481,2018,8,14,21405.5
311,1480,2018,8,15,21374.72
312,1479,2018,8,16,21045.51
313,1478,2018,8,17,21010.17
314,1477,2018,8,20,21207.98
315,1476,2018,8,21,21354.1
316,1475,2018,8,22,21374.56
317,1474,2018,8,23,21368.97
318,1473,2018,8,24,21182.63
319,1472,2018,8,27,21604.2
320,1471,2018,8,28,21684.45
321,1470,2018,8,29,21494.4
322,1469,2018,8,30,21586.18
323,1468,2018,8,31,21402.12
324,1467,2018,9,3,21436.62
325,1466,2018,9,4,21599.31
