Date,Price,Open,High,Low
01/16/1997,1.2202,1.2243,1.2257,1.2168
01/15/1997,1.2241,1.2205,1.2247,1.2141
01/14/1997,1.2202,1.2240,1.2269,1.2162
01/13/1997,1.2239,1.2272,1.2297,1.2199
01/10/1997,1.2250,1.2337,1.2343,1.2237
01/09/1997,1.2331,1.2320,1.2363,1.2283
01/08/1997,1.2330,1.2378,1.2419,1.2299
01/07/1997,1.2403,1.2411,1.2458,1.2393
01/06/1997,1.2406,1.2325,1.2424,1.2320
01/03/1997,1.2359,1.2511,1.2529,1.2341
01/02/1997,1.2528,1.2527,1.2559,1.2457
12/31/1996,1.2538,1.2404,1.2567,1.2400
12/30/1996,1.2417,1.2411,1.2431,1.2376
12/27/1996,1.2415,1.2405,1.2422,1.2330
12/26/1996,1.2402,1.2407,1.2407,1.2371
12/25/1996,1.2388,1.2405,1.2405,1.2388
12/24/1996,1.2390,1.2405,1.2425,1.2359
12/23/1996,1.2394,1.2403,1.2433,1.2371
12/20/1996,1.2407,1.2349,1.2437,1.2341
12/19/1996,1.2348,1.2410,1.2412,1.2305
12/18/1996,1.2405,1.2428,1.2463,1.2373
12/17/1996,1.2418,1.2498,1.2519,1.2416
12/16/1996,1.2472,1.2418,1.2515,1.2396
12/13/1996,1.2428,1.2485,1.2539,1.2415
12/12/1996,1.2502,1.2523,1.2526,1.2447
12/11/1996,1.2519,1.2440,1.2546,1.2440
12/10/1996,1.2406,1.2405,1.2452,1.2390
12/09/1996,1.2401,1.2450,1.2473,1.2386
12/06/1996,1.2474,1.2407,1.2594,1.2407
12/05/1996,1.2431,1.2400,1.2467,1.2346
12/04/1996,1.2391,1.2390,1.2427,1.2344
12/03/1996,1.2414,1.2505,1.2505,1.2334
12/02/1996,1.2500,1.2548,1.2567,1.2497
11/29/1996,1.2540,1.2577,1.2602,1.2531
11/28/1996,1.2589,1.2611,1.2629,1.2547
11/27/1996,1.2624,1.2638,1.2671,1.2595
11/26/1996,1.2637,1.2676,1.2686,1.2596
11/25/1996,1.2656,1.2690,1.2749,1.2652
11/22/1996,1.2753,1.2837,1.2842,1.2745
11/21/1996,1.2829,1.2839,1.2847,1.2765
11/20/1996,1.2843,1.2762,1.2862,1.2762
11/19/1996,1.2763,1.2795,1.2799,1.2756
11/18/1996,1.2787,1.2747,1.2811,1.2728
11/15/1996,1.2726,1.2720,1.2757,1.2710
11/14/1996,1.2703,1.2746,1.2757,1.2690
11/13/1996,1.2725,1.2695,1.2752,1.2665
